#$ TITLE: Rates by picky Mr Nice (Grower)
#$ FIRMWARE_VERSION: 4.3
#$ FIRMWARE_VERSION: 4.4
#$ FIRMWARE_VERSION: 4.5
#$ CATEGORY: RATES
#$ STATUS: COMMUNITY
#$ KEYWORDS: racing, nice, mr nice, mrnice, shitpilot, Neil, Marek, freestyle, cinematic, expert
#$ AUTHOR: Neil Marek (Grower)

#$ PARSER: MARKED

#$ DESCRIPTION: Rates by Grower - Neil Marek.<br />
#$ DESCRIPTION: Betaflight type of rates with 470 degrees/sec max on roll and pitch, and 421 degrees/sec on yaw.<br />
#$ DESCRIPTION: Neil Marek - active and talanted US racer. He uses the same rates for freestyle, and professional cinematic jobs.<br />
#$ DESCRIPTION: Optional checkbox provides almost identical ACTUAL rates.<br />
#$ DESCRIPTION: <img src="https://user-images.githubusercontent.com/2925027/265239785-62e444c4-2861-4691-beba-6125a9635954.png"/>

#$ DISCUSSION: https://github.com/betaflight/firmware-presets/pull/411

#$ INCLUDE: presets/4.3/rates/defaults.txt

set rates_type = BETAFLIGHT
set roll_rc_rate = 101
set pitch_rc_rate = 101
set yaw_rc_rate = 101
set roll_expo = 10
set pitch_expo = 10
set yaw_expo = 10
set roll_srate = 57
set pitch_srate = 57
set yaw_srate = 52

#$ OPTION BEGIN (UNCHECKED): Actual rates analogue
    set rates_type = ACTUAL
	set roll_rc_rate = 16
	set pitch_rc_rate = 16
	set yaw_rc_rate = 16
	set roll_expo = 39
	set pitch_expo = 39
	set yaw_expo = 34
	set roll_srate = 47
	set pitch_srate = 47
	set yaw_srate = 42
#$ OPTION END
